tc180s3g00001,,,
tc180s3g00002,,,
tc180s3g00003,,,
tc180s3g00004,,,
tc180s3g00005,dz186s3g01240,,
tc180s3g00006,dz186s3g01239,dz186s14g00867,
tc180s3g00007,dz186s3g01238,.,dz186s15g00824
tc180s3g00008,.,dz186s14g00866,.
tc180s3g00009,dz186s3g01236,dz186s14g00865,dz186s15g00823
tc180s3g00010,dz186s3g01235,dz186s14g00864,.
tc180s3g00011,dz186s3g01234,.,.
tc180s3g00012,dz186s3g01233,dz186s14g00863,dz186s15g00822
tc180s3g00013,.,.,dz186s15g00821
tc180s3g00014,dz186s3g01232,dz186s14g00862,.
tc180s3g00015,.,.,dz186s15g00820
tc180s3g00016,.,.,dz186s15g00819
tc180s3g00017,dz186s3g01230,dz186s14g00861,.
tc180s3g00018,dz186s3g01229,dz186s14g00859,dz186s15g00817
tc180s3g00019,dz186s3g01228,.,dz186s15g00816
tc180s3g00020,.,.,.
tc180s3g00021,.,.,dz186s15g00815
tc180s3g00022,dz186s3g01227,.,.
tc180s3g00023,dz186s3g01226,dz186s14g00858,.
tc180s3g00024,.,dz186s14g00857,.
tc180s3g00025,dz186s3g01225,dz186s14g00856,dz186s15g00813
tc180s3g00026,.,dz186s14g00855,.
tc180s3g00027,dz186s3g01224,dz186s14g00854,.
tc180s3g00028,dz186s3g01223,.,.
tc180s3g00029,.,.,dz186s15g00812
tc180s3g00030,dz186s3g01221,dz186s14g00853,dz186s15g00810
tc180s3g00031,.,dz186s14g00852,.
tc180s3g00032,dz186s3g01220,.,.
tc180s3g00033,dz186s3g01219,dz186s14g00851,dz186s15g00809
tc180s3g00034,dz186s3g01218,dz186s14g00850,.
tc180s3g00035,dz186s3g01217,dz186s14g00849,.
tc180s3g00036,dz186s3g01216,dz186s14g00848,dz186s15g00808
tc180s3g00037,.,.,.
tc180s3g00038,.,dz186s14g00847,.
tc180s3g00039,dz186s3g01215,dz186s14g00846,dz186s15g00807
tc180s3g00040,dz186s3g01214,dz186s14g00845,.
tc180s3g00041,dz186s3g01213,.,dz186s15g00806
tc180s3g00042,dz186s3g01212,.,dz186s15g00805
tc180s3g00043,.,dz186s14g00844,dz186s15g00804
tc180s3g00044,dz186s3g01211,.,.
tc180s3g00045,dz186s3g01210,.,dz186s15g00803
tc180s3g00046,dz186s3g01209,.,dz186s15g00802
tc180s3g00047,dz186s3g01208,.,.
tc180s3g00048,dz186s3g01207,.,.
tc180s3g00049,dz186s3g01206,dz186s14g00842,.
tc180s3g00050,dz186s3g01205,.,dz186s15g00801
tc180s3g00051,dz186s3g01204,dz186s14g00841,.
tc180s3g00052,dz186s3g01203,.,.
tc180s3g00053,dz186s3g01202,.,.
tc180s3g00054,.,.,.
tc180s3g00055,.,dz186s14g00840,.
tc180s3g00056,.,.,dz186s15g00800
tc180s3g00057,dz186s3g01201,dz186s14g00839,.
tc180s3g00058,dz186s3g01200,.,.
tc180s3g00059,.,.,.
tc180s3g00060,dz186s3g01198,dz186s14g00837,.
tc180s3g00061,.,.,dz186s15g00797
tc180s3g00062,.,.,dz186s15g00796
tc180s3g00063,.,.,dz186s15g00794
tc180s3g00064,dz186s3g01197,dz186s14g00835,.
tc180s3g00065,dz186s3g01195,.,dz186s15g00793
tc180s3g00066,.,dz186s14g00834,.
tc180s3g00067,dz186s3g01194,dz186s14g00833,dz186s15g00792
tc180s3g00068,.,dz186s14g00832,dz186s15g00791
tc180s3g00069,dz186s3g01193,.,dz186s15g00790
tc180s3g00070,dz186s3g01192,.,.
tc180s3g00071,dz186s3g01191,.,dz186s15g00789
tc180s3g00072,dz186s3g01190,.,.
tc180s3g00073,dz186s3g01189,.,.
tc180s3g00074,dz186s3g01188,dz186s14g00831,.
tc180s3g00075,dz186s3g01187,.,.
tc180s3g00076,dz186s3g01186,.,.
tc180s3g00077,.,.,.
tc180s3g00078,.,.,.
tc180s3g00079,.,.,.
tc180s3g00080,.,.,.
tc180s3g00081,dz186s3g01185,dz186s14g00830,.
tc180s3g00082,dz186s3g01184,dz186s14g00829,.
tc180s3g00083,dz186s3g01183,dz186s14g00806,.
tc180s3g00084,dz186s3g01182,.,.
tc180s3g00085,.,.,dz186s15g00788
tc180s3g00086,dz186s3g01181,dz186s14g00807,dz186s15g00787
tc180s3g00087,dz186s3g01180,.,
tc180s3g00088,dz186s3g01179,.,
tc180s3g00089,.,.,
tc180s3g00090,dz186s3g01178,.,
tc180s3g00091,.,dz186s14g00808,
tc180s3g00092,.,dz186s14g00809,
tc180s3g00093,dz186s3g01177,dz186s14g00810,
tc180s3g00094,.,.,
tc180s3g00095,dz186s3g01176,dz186s14g00811,
tc180s3g00096,dz186s3g01175,.,
tc180s3g00097,dz186s3g01174,dz186s14g00812,
tc180s3g00098,dz186s3g01173,dz186s14g00814,
tc180s3g00099,dz186s3g01172,.,
tc180s3g00100,dz186s3g01171,.,
tc180s3g00101,dz186s3g01170,.,
tc180s3g00102,.,.,
tc180s3g00103,.,.,
tc180s3g00104,dz186s3g01168,.,
tc180s3g00105,dz186s3g01167,.,
tc180s3g00106,.,dz186s14g00815,
tc180s3g00107,dz186s3g01166,.,
tc180s3g00108,.,.,
tc180s3g00109,.,dz186s14g00816,
tc180s3g00110,.,.,
tc180s3g00111,.,.,
tc180s3g00112,.,.,
tc180s3g00113,.,.,
tc180s3g00114,.,.,
tc180s3g00115,dz186s3g01149,.,
tc180s3g00116,.,dz186s14g00817,
tc180s3g00117,dz186s3g01150,dz186s14g00818,
tc180s3g00118,dz186s3g01151,dz186s14g00819,
tc180s3g00119,.,.,
tc180s3g00120,dz186s3g01152,.,
tc180s3g00121,.,dz186s14g00823,
tc180s3g00122,.,dz186s14g00822,
tc180s3g00123,dz186s3g01153,dz186s14g00820,
tc180s3g00124,dz186s3g01720,.,
tc180s3g00125,.,dz186s14g01177,
tc180s3g00126,dz186s3g01721,dz186s14g01178,
tc180s3g00127,.,dz186s14g01179,
tc180s3g00128,dz186s3g01722,.,
tc180s3g00129,dz186s3g01723,.,
tc180s3g00130,.,.,
tc180s3g00131,dz186s3g01724,.,
tc180s3g00132,dz186s3g01725,.,
tc180s3g00133,dz186s3g01726,dz186s14g01180,
tc180s3g00134,dz186s3g01727,dz186s14g01184,
tc180s3g00135,.,.,
tc180s3g00136,.,.,
tc180s3g00137,.,.,
tc180s3g00138,.,.,
tc180s3g00139,dz186s3g01728,dz186s14g01182,
tc180s3g00140,.,.,
tc180s3g00141,.,.,
tc180s3g00142,dz186s3g01160,.,
tc180s3g00143,.,.,
tc180s3g00144,.,.,
tc180s3g00145,dz186s3g01159,.,
tc180s3g00146,dz186s3g01158,dz186s14g00824,
tc180s3g00147,dz186s3g01157,.,
tc180s3g00148,dz186s3g01156,.,
tc180s3g00149,dz186s3g01155,.,
tc180s3g00150,dz186s3g01154,.,
tc180s3g00151,dz186s3g01719,.,
tc180s3g00152,dz186s3g01718,.,
tc180s3g00153,.,.,
tc180s3g00154,.,dz186s14g01176,
tc180s3g00155,dz186s3g01717,dz186s14g01175,
tc180s3g00156,.,.,
tc180s3g00157,dz186s3g01716,.,
tc180s3g00158,dz186s3g01715,dz186s14g01174,
tc180s3g00159,dz186s3g01714,dz186s14g01173,
tc180s3g00160,dz186s3g01713,.,
tc180s3g00161,.,dz186s14g01172,
tc180s3g00162,dz186s3g01712,.,
tc180s3g00163,dz186s3g01711,dz186s14g01171,
tc180s3g00164,.,dz186s14g01170,
tc180s3g00165,.,dz186s14g01169,
tc180s3g00166,dz186s3g01710,.,
tc180s3g00167,,dz186s14g01168,
tc180s3g00168,,dz186s14g00699,dz186s15g00657
tc180s3g00169,,dz186s14g00700,dz186s15g00658
tc180s3g00170,dz186s3g00951,dz186s14g00701,.
tc180s3g00171,.,dz186s14g00703,dz186s15g00660
tc180s3g00172,dz186s3g00950,dz186s14g00704,dz186s15g00661
tc180s3g00173,dz186s3g00949,.,dz186s15g00662
tc180s3g00174,dz186s3g00947,.,dz186s15g00663
tc180s3g00175,dz186s3g00946,dz186s14g00705,dz186s15g00664
tc180s3g00176,dz186s3g00945,.,.
tc180s3g00177,dz186s3g00944,dz186s14g00706,dz186s15g00665
tc180s3g00178,dz186s3g00943,.,dz186s15g00666
tc180s3g00179,dz186s3g00942,.,.
tc180s3g00180,dz186s3g00941,dz186s14g00707,.
tc180s3g00181,dz186s3g00940,.,.
tc180s3g00182,dz186s3g00939,.,dz186s15g00667
tc180s3g00183,.,dz186s14g00710,.
tc180s3g00184,dz186s3g00935,.,.
tc180s3g00185,.,dz186s14g00711,.
tc180s3g00186,.,dz186s14g00712,.
tc180s3g00187,dz186s3g00934,.,.
tc180s3g00188,dz186s3g00933,.,dz186s15g00670
tc180s3g00189,dz186s3g00932,.,.
tc180s3g00190,.,.,dz186s15g00673
tc180s3g00191,.,.,.
tc180s3g00192,.,.,.
tc180s3g00193,.,.,.
tc180s3g00194,.,.,dz186s15g00674
tc180s3g00195,.,.,dz186s15g00675
tc180s3g00196,.,.,.
tc180s3g00197,.,.,.
tc180s3g00198,.,.,dz186s15g00676
tc180s3g00199,.,dz186s14g00713,dz186s15g00677
tc180s3g00200,.,.,.
tc180s3g00201,.,.,.
tc180s3g00202,.,.,.
tc180s3g00203,.,.,.
tc180s3g00204,dz186s3g00931,.,.
tc180s3g00205,.,.,.
tc180s3g00206,dz186s3g00930,dz186s14g00723,.
