,loc1,loc2,grading,usedtimes1,usedtimes2,times,score1,score2,path1,path2
81111,1,2,50,4,0,1,50,50,[81111],[81111]
81127,2,4,50,2,0,1,97,50,"[81111, 81127]",[81127]
81128,2,5,40,2,1,1,86,78,"[81111, 81128]","[81157, 81128]"
81157,3,4,40,2,1,1,86,40,"[81111, 81157]",[81157]
81156,3,5,50,3,0,1,145,50,"[81111, 81127, 81156]",[81156]
81184,4,6,50,3,0,1,193,50,"[81111, 81127, 81156, 81184]",[81184]
81203,5,7,50,3,0,1,241,50,"[81111, 81127, 81156, 81184, 81203]",[81203]
81204,6,8,50,2,0,1,289,50,"[81111, 81127, 81156, 81184, 81203, 81204]",[81204]
81240,7,9,50,2,0,1,337,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240]",[81240]
81242,8,10,50,2,0,1,385,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242]",[81242]
81255,9,11,50,2,0,1,433,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255]",[81255]
81259,10,12,50,3,0,1,481,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259]",[81259]
81261,11,14,50,2,1,1,528,98,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261]","[81268, 81261]"
81268,12,13,50,2,1,1,528,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81268]",[81268]
81269,13,15,50,2,0,1,575,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269]",[81269]
81272,14,16,50,3,0,1,623,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272]",[81272]
81274,15,17,50,2,0,1,671,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274]",[81274]
81277,16,18,50,2,0,1,719,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277]",[81277]
81315,17,19,50,2,0,1,767,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315]",[81315]
81316,18,23,50,2,0,1,812,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316]",[81316]
81327,19,24,50,2,0,1,860,50,"[81111, 81127, 81156, 81184, 81203, 81204, 81240, 81242, 81255, 81259, 81261, 81269, 81272, 81274, 81277, 81315, 81316, 81327]",[81327]
