bsi11s8g01081,.,tsi13s22g00149,tsi13s1g00744,,tsi13s1g00497,atr42s3g02091
bsi11s8g01073,.,tsi13s22g00153,.,tsi13s20g00164,tsi13s1g00499,atr42s3g02094
bsi11s8g01066,.,tsi13s22g00157,.,.,tsi13s1g00501,atr42s3g02104
bsi11s8g01041,bsi11s12g01132,tsi13s22g00195,.,tsi13s3g01731,.,atr42s4g00874
bsi11s8g01038,.,tsi13s22g00197,.,tsi13s3g01733,.,atr42s4g00889
bsi11s8g01037,.,tsi13s22g00198,.,tsi13s3g01734,.,atr42s4g00893
bsi11s8g01036,.,tsi13s22g00199,tsi13s1g00754,tsi13s3g01736,.,atr42s4g00895
bsi11s8g01018,bsi11s12g01093,tsi13s22g00200,tsi13s1g00755,tsi13s20g00199,tsi13s1g00492,atr42s4g00902
bsi11s8g01000,bsi11s12g01090,tsi13s22g00216,tsi13s1g00766,tsi13s20g00217,tsi13s1g00490,atr42s3g02325
bsi11s8g00989,bsi11s12g01087,tsi13s22g00225,.,tsi13s20g00224,.,atr42s13g00098
bsi11s8g00984,.,tsi13s22g00245,.,tsi13s20g00228,tsi13s1g00484,atr42s13g00089
bsi11s8g00976,bsi11s12g01084,tsi13s22g00248,tsi13s1g00775,tsi13s20g00233,tsi13s1g00483,atr42s13g00080
bsi11s8g00940,.,tsi13s22g00271,.,tsi13s20g00263,.,atr42s13g00041
bsi11s8g00935,.,tsi13s22g00275,.,.,tsi13s1g00469,atr42s13g00032
bsi11s8g00934,.,tsi13s22g00279,.,tsi13s20g00278,tsi13s1g00468,atr42s13g00031
bsi11s8g00915,.,tsi13s22g00290,.,tsi13s20g00282,tsi13s1g00464,atr42s13g00015
bsi11s8g00876,bsi11s12g01057,tsi13s22g00307,tsi13s12g01372,tsi13s20g00327,tsi13s1g00450,atr42s3g02171
bsi11s8g00869,.,tsi13s22g00315,tsi13s1g00795,tsi13s20g00331,.,atr42s3g02148
.,bsi11s12g01012,tsi13s22g00330,tsi13s1g00803,tsi13s20g00345,tsi13s1g00437,atr42s3g02126
bsi11s8g00838,.,tsi13s22g00336,.,.,tsi13s1g00436,atr42s3g02181
bsi11s8g00824,bsi11s12g01022,tsi13s22g00344,tsi13s1g00810,tsi13s20g00363,.,atr42s3g02186
bsi11s8g00821,bsi11s12g01000,tsi13s22g00363,tsi13s1g00823,.,tsi13s1g00401,atr42s3g02216
bsi11s8g00820,bsi11s12g00999,tsi13s22g00364,,tsi13s20g00366,.,atr42s3g02215
bsi11s8g00811,bsi11s12g00996,tsi13s22g00380,tsi13s1g00894,tsi13s20g00368,.,atr42s3g02203
bsi11s8g00791,.,tsi13s22g00381,.,tsi13s20g00369,tsi13s1g00397,atr42s3g02200
bsi11s8g00731,bsi11s12g00987,tsi13s22g00407,.,tsi13s20g00383,tsi13s1g00390,atr42s3g02237
bsi11s8g00722,.,tsi13s22g00419,tsi13s1g00909,tsi13s20g00393,.,atr42s3g02310
.,bsi11s12g00980,tsi13s22g00420,tsi13s1g00910,tsi13s20g00394,.,atr42s3g02309
.,bsi11s12g00966,tsi13s22g00425,.,.,tsi13s1g00385,atr42s3g02297
.,bsi11s12g00954,tsi13s22g00436,.,tsi13s20g00408,.,atr42s13g00102
bsi11s8g00703,bsi11s12g00951,tsi13s22g00437,tsi13s1g00932,tsi13s20g00410,tsi13s1g00375,atr42s13g00107
bsi11s8g00694,bsi11s12g00946,tsi13s22g00440,.,tsi13s20g00419,.,atr42s13g00118
bsi11s8g00691,bsi11s12g00940,tsi13s22g00447,.,tsi13s20g00422,.,atr42s13g00123
