id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
41,1,14,436,210,750,903,0.0196,34,1.61735,1.61345,0.588235294,0.852941176,0.941176471,0.941176471,0.941176471,436_434_404_400_380_375_372_369_360_357_353_351_349_348_346_340_337_336_334_320_316_312_305_298_289_285_282_280_263_261_247_238_231_210,750_751_757_763_781_782_785_786_795_803_804_806_810_814_815_818_825_834_837_840_841_844_849_855_858_859_867_868_883_887_888_893_897_903,1.6903_2.2874_1.6887_1.0064_2.196_1.65_0.9451_1.1481_1.4194_1.6947_1.9673_1.4297_1.7123_1.3927_1.7034_1.6479_2.2884_1.5868_1.0825_-1_1.4543_2.0276_2.1031_0.8684_1.2603_1.064_3.6379_-1_1.7444_-1_1.5357_-1_0.9571_1.2136,0.149779736,0.220779221,2,3
42,1,14,1391,1169,1061,1286,0.0651,32,1.3139,1.510203226,0.4375,0.625,0.6875,0.71875,0.84375,1391_1382_1381_1375_1359_1355_1354_1348_1345_1341_1340_1317_1313_1309_1306_1302_1299_1297_1285_1282_1261_1257_1247_1219_1197_1183_1177_1176_1175_1173_1172_1169,1061_1068_1071_1084_1099_1100_1102_1104_1110_1113_1114_1124_1127_1130_1161_1163_1168_1172_1181_1183_1190_1193_1197_1211_1234_1236_1253_1256_1261_1278_1283_1286,1.0939_1.3899_4.5227_1.4264_1.0873_2.9955_1.4575_1.6959_2.889_0.876_1.2148_1.1759_1.2587_1.3139_0.8219_1.3684_1.7272_0.8746_0.9342_-1_1.1827_1.2719_1.189_1.1954_1.6064_1.781_1.6064_1.8792_1.3608_1.4887_1.0966_1.0345,0.143497758,0.14159292,2,3
43,1,14,807,985,1532,1695,0.0546,26,1.4999,1.586576,0.692307692,0.807692308,0.923076923,0.961538462,0.961538462,807_815_855_872_874_877_881_884_886_887_889_891_897_899_902_914_926_944_947_948_949_953_956_967_974_985,1532_1563_1585_1593_1595_1598_1605_1607_1608_1609_1610_1621_1622_1624_1626_1634_1667_1669_1678_1680_1681_1682_1684_1689_1694_1695,-1_2.2194_2.4368_1.4999_2.0082_1.4062_1.587_1.3672_0.7858_4.3994_2.4645_2.3168_1.1333_0.7783_1.1709_1.6174_1.0151_0.8454_0.9399_1.6071_0.8992_0.7198_0.8784_1.6303_1.7438_2.1943,0.145251397,0.158536585,2,3
51,1,17,521,211,179,501,0.0438,50,1.4346,1.643310417,0.58,0.78,0.88,0.94,0.94,521_519_480_464_461_451_436_434_405_401_400_399_394_393_390_389_372_369_367_365_360_356_355_353_346_344_338_337_335_334_316_312_308_303_299_284_283_281_280_277_274_269_251_250_247_243_240_232_212_211,179_200_213_214_216_226_231_232_246_252_287_288_291_292_306_307_312_313_315_316_323_325_336_337_342_347_348_349_362_364_376_380_382_385_388_393_395_403_441_445_446_453_463_464_468_474_475_486_499_501,1.2283_5.8074_1.1146_1.1223_1.2389_0.8501_1.3314_1.1302_0.7442_1.6657_3.8204_3.1743_0.8515_0.8391_1.8506_1.1457_1.4271_1.5907_1.0981_1.167_1.1683_1.1668_1.7223_1.5909_1.8513_0.8495_2.8479_2.1251_1.5718_2.0133_1.5726_1.7047_1.4877_3.0776_1.6128_1.2576_0.9614_-1_2.5795_1.6215_1.3858_0.962_1.3839_1.599_1.7358_-1_1.659_1.3398_1.3913_1.4421,0.160771704,0.154798762,2,1
52,1,17,826,1022,596,737,0.0086,36,1.17635,1.222135294,0.583333333,0.861111111,0.972222222,1.0,1.0,826_828_832_838_851_855_861_863_871_872_874_881_884_886_890_891_902_905_907_910_911_912_922_923_927_928_933_936_947_948_953_959_967_973_988_1022,596_597_599_603_619_621_629_630_634_635_640_647_648_650_656_657_658_660_665_666_667_670_672_673_678_679_686_689_697_699_703_707_710_713_727_737,0.8994_0.875_1.3486_1.0909_1.1983_-1_1.1027_1.3471_2.4409_1.2182_1.5347_1.2018_1.2518_1.1001_1.0479_1.2251_1.4227_1.1544_1.028_0.8331_0.9222_1.59_1.3047_0.9125_1.5076_1.4075_1.6021_1.0095_1.0653_-1_0.7275_0.8666_1.8286_1.3574_1.1343_0.9961,0.182741117,0.253521127,2,1
53,1,17,1384,1169,2,142,0.0204,29,1.21025,1.392566667,0.724137931,0.862068966,0.965517241,0.965517241,0.965517241,1384_1378_1362_1360_1358_1355_1349_1347_1342_1340_1336_1327_1324_1322_1310_1305_1302_1300_1295_1289_1282_1281_1275_1262_1228_1223_1218_1192_1169,2_14_19_21_28_30_35_39_40_41_44_45_47_50_53_61_66_69_80_82_87_89_94_95_98_108_115_134_142,1.0601_1.2266_1.3322_1.3034_1.1939_-1_-1_0.9652_1.3002_1.1281_1.0235_0.8919_1.013_1.7654_1.1124_1.0004_1.3105_-1_2.0245_1.6835_-1_1.5374_-1_1.16_0.961_4.7978_1.3253_0.8834_1.4219,0.134259259,0.205673759,2,1
144,10,12,774,544,133,388,0.0217,56,1.28265,1.432435185,0.589285714,0.857142857,0.910714286,0.946428571,0.964285714,774_767_763_758_749_748_747_740_737_729_728_727_725_716_710_709_706_705_694_686_683_672_670_668_666_651_649_645_644_643_642_640_637_636_635_633_631_630_627_621_619_618_612_606_596_592_586_581_579_575_574_571_562_548_547_544,133_139_153_159_160_161_162_168_169_190_191_195_199_201_204_209_213_214_221_223_224_231_233_235_236_242_246_248_249_253_255_256_271_273_294_295_296_297_298_301_305_306_315_320_335_344_348_352_358_362_363_370_383_386_387_388,2.3254_1.0154_1.1709_1.3144_1.6045_0.7338_1.7611_0.8991_0.9292_0.8501_0.8871_0.9364_-1_1.3132_1.6008_1.4638_0.9942_0.9521_1.2839_4.0606_1.024_1.7872_1.5932_1.3142_1.4948_1.0864_1.0616_0.8344_1.0166_1.4422_1.2434_1.2814_2.0802_1.2718_1.0429_2.1295_1.6306_1.0323_1.0362_1.8897_0.8252_1.3845_1.5059_0.9496_1.4849_1.0381_-1_2.3542_1.1378_1.762_1.7166_2.4142_0.8546_2.0557_3.479_1.0006,0.242424242,0.21875,2,3
145,10,12,392,490,610,748,0.066,20,1.1882,1.81506875,0.55,0.7,0.75,0.75,0.9,392_395_400_402_411_412_414_415_419_421_452_453_454_456_457_459_467_471_479_490,610_613_619_623_626_629_633_652_654_655_666_675_679_684_686_689_691_707_713_748,3.3588_0.7766_2.9633_1.1345_1.0826_0.979_3.7982_-1_-1_-1_1.0852_2.9647_1.3948_2.8596_1.1883_1.1881_2.3746_1.0563_0.8365_-1,0.202020202,0.143884892,2,3
163,10,19,128,85,412,445,0.0175,15,0.9826,1.35215,0.533333333,0.666666667,0.8,0.866666667,0.933333333,128_125_124_123_119_103_102_101_98_97_96_93_92_86_85,412_415_418_420_424_431_432_434_435_436_437_442_443_444_445,2.058_0.9561_0.906_0.9655_0.9997_0.7936_-1_2.3797_1.8638_0.8706_1.6175_-1_-1_1.9013_0.914,0.340909091,0.441176471,2,1
218,11,4,321,37,1,193,0.0542,35,1.30605,1.479665625,0.628571429,0.857142857,0.914285714,0.942857143,0.942857143,321_320_316_304_289_278_274_271_269_265_251_247_244_243_242_207_173_171_170_168_156_120_112_109_108_105_99_98_97_84_80_75_64_47_37,1_7_11_18_29_31_37_40_42_43_69_70_71_72_88_107_117_119_121_123_127_137_141_143_144_146_150_152_156_162_172_178_179_190_193,-1_1.271_0.8995_2.0442_0.7784_0.8962_0.7255_1.8066_1.5523_0.9241_0.8582_0.9323_0.8067_1.2235_2.3398_3.8937_-1_1.4116_1.1221_1.2744_0.8531_1.1532_1.8142_1.1_2.0545_1.8423_1.4555_2.4533_0.9761_1.4357_1.3377_3.0466_1.5897_-1_1.4773,0.122807018,0.18134715,2,3
