id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2,class1_color,class2_color,diff
2,1,2,1105.0,1458.0,2030.0,2523.0,0.0136,187,-1,-1,0.8983957219251337,0.9679144385026738,0.9893048128342246,0.9893048128342246,1.0,1105_1106_1107_1108_1109_1110_1111_1112_1113_1115_1117_1119_1120_1121_1122_1123_1128_1129_1130_1131_1132_1133_1134_1135_1136_1137_1138_1151_1152_1153_1154_1155_1156_1157_1158_1159_1177_1179_1181_1182_1183_1184_1191_1192_1193_1195_1197_1198_1199_1200_1201_1202_1203_1204_1206_1208_1209_1210_1211_1215_1217_1218_1219_1220_1221_1222_1223_1224_1225_1230_1231_1234_1235_1236_1242_1243_1245_1246_1247_1248_1249_1250_1251_1252_1253_1254_1255_1256_1257_1258_1259_1260_1264_1266_1267_1268_1273_1275_1276_1277_1278_1281_1282_1283_1284_1294_1296_1297_1300_1304_1305_1306_1308_1312_1331_1332_1333_1334_1336_1343_1345_1346_1347_1350_1351_1352_1353_1354_1355_1356_1357_1363_1365_1366_1367_1368_1369_1370_1371_1372_1373_1374_1375_1376_1377_1378_1379_1380_1382_1387_1394_1398_1399_1400_1401_1402_1403_1404_1414_1415_1416_1417_1418_1421_1426_1427_1428_1429_1430_1431_1432_1433_1434_1435_1436_1437_1438_1439_1440_1442_1451_1452_1453_1454_1455_1456_1458,2030_2031_2034_2039_2040_2041_2046_2047_2048_2051_2052_2056_2062_2064_2065_2066_2070_2073_2078_2079_2082_2083_2085_2086_2087_2091_2093_2096_2097_2098_2103_2104_2105_2106_2107_2112_2118_2123_2124_2125_2127_2128_2132_2134_2136_2138_2140_2141_2142_2143_2144_2145_2148_2149_2150_2154_2155_2156_2159_2163_2165_2167_2171_2172_2173_2175_2176_2177_2178_2180_2181_2183_2184_2186_2189_2198_2199_2202_2203_2204_2205_2206_2209_2210_2211_2217_2223_2227_2230_2231_2232_2233_2236_2237_2239_2243_2245_2246_2250_2257_2262_2263_2273_2274_2275_2280_2283_2288_2293_2296_2303_2306_2308_2311_2314_2318_2319_2320_2324_2330_2331_2335_2336_2347_2349_2351_2352_2353_2356_2361_2362_2377_2378_2383_2385_2386_2387_2389_2392_2393_2396_2399_2401_2406_2407_2408_2409_2410_2411_2419_2422_2424_2425_2426_2428_2429_2430_2433_2441_2449_2451_2458_2459_2460_2462_2465_2466_2469_2470_2471_2472_2475_2476_2484_2485_2486_2487_2488_2493_2496_2506_2507_2508_2509_2510_2516_2523,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.5282485875706214,0.3785425101214575,1,1,#FFCC00,#FFCC00,1
3,1,2,616.0,828.0,1283.0,1630.0,0.0224,118,-1,-1,0.8050847457627118,0.9067796610169492,0.940677966101695,1.0,1.0,616_619_620_621_622_623_624_625_626_631_632_633_634_637_640_641_642_643_653_657_658_659_660_661_662_663_664_667_668_673_675_677_680_686_688_699_700_701_702_703_704_705_706_707_708_709_710_711_712_713_714_715_716_718_719_721_722_736_737_738_739_740_741_742_743_744_745_746_747_748_757_762_763_764_765_766_767_768_769_770_771_772_773_774_780_781_782_783_784_785_786_787_788_789_790_791_792_793_794_795_796_797_798_803_804_805_806_807_817_820_821_822_823_824_825_826_827_828,1283_1285_1289_1295_1297_1298_1303_1306_1307_1309_1311_1313_1319_1320_1321_1322_1326_1328_1334_1337_1338_1339_1341_1346_1347_1358_1362_1369_1370_1371_1381_1383_1385_1388_1390_1391_1395_1396_1400_1402_1404_1405_1407_1423_1435_1436_1437_1439_1443_1445_1451_1452_1455_1462_1464_1465_1478_1481_1484_1488_1492_1497_1498_1503_1504_1505_1506_1508_1509_1514_1516_1519_1520_1521_1522_1524_1525_1526_1535_1536_1538_1539_1545_1547_1553_1557_1558_1562_1563_1565_1566_1569_1570_1572_1573_1574_1578_1579_1584_1585_1588_1589_1591_1595_1598_1600_1602_1603_1608_1611_1612_1615_1618_1619_1621_1627_1628_1630,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.5539906103286385,0.3390804597701149,1,1,#FFCC00,#FFCC00,1
4,1,2,4317.0,4079.0,3469.0,3734.0,0.022,103,-1,-1,0.7961165048543689,0.9514563106796116,0.9805825242718448,0.9805825242718448,1.0,4317_4316_4315_4311_4308_4303_4299_4297_4296_4295_4290_4289_4288_4287_4286_4285_4280_4277_4268_4266_4258_4257_4256_4255_4253_4252_4247_4246_4245_4244_4243_4242_4241_4240_4239_4238_4232_4231_4230_4229_4227_4223_4212_4211_4206_4205_4203_4202_4201_4199_4196_4195_4194_4191_4190_4186_4185_4184_4183_4182_4181_4180_4179_4175_4174_4169_4165_4156_4153_4145_4143_4140_4139_4138_4115_4114_4113_4112_4111_4110_4109_4108_4107_4106_4105_4104_4103_4102_4101_4100_4099_4098_4097_4088_4087_4086_4085_4084_4083_4082_4081_4080_4079,3469_3477_3478_3479_3480_3493_3495_3501_3502_3503_3504_3517_3518_3519_3520_3522_3523_3525_3529_3532_3546_3548_3549_3550_3555_3564_3566_3567_3568_3569_3575_3576_3580_3581_3584_3585_3587_3588_3589_3590_3591_3592_3597_3598_3599_3600_3601_3605_3606_3607_3609_3611_3612_3615_3618_3627_3628_3629_3630_3631_3632_3633_3634_3637_3641_3645_3647_3649_3652_3655_3658_3659_3660_3664_3668_3669_3671_3672_3673_3675_3677_3678_3679_3680_3681_3685_3688_3689_3690_3693_3696_3697_3699_3714_3716_3723_3724_3726_3727_3728_3729_3730_3734,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.4309623430962343,0.3872180451127819,1,1,#FFCC00,#FFCC00,1
5,1,2,4976.0,4775.0,2525.0,2782.0,0.0194,90,-1,-1,0.8777777777777778,0.9333333333333332,0.9888888888888888,1.0,1.0,4976_4973_4972_4971_4961_4960_4959_4958_4957_4956_4955_4949_4945_4940_4939_4938_4937_4936_4935_4934_4933_4932_4931_4930_4929_4928_4927_4926_4925_4924_4923_4922_4921_4920_4919_4918_4914_4913_4910_4902_4900_4899_4898_4897_4896_4895_4894_4893_4892_4891_4890_4885_4883_4882_4878_4877_4876_4871_4865_4859_4842_4841_4840_4839_4824_4823_4818_4817_4816_4814_4812_4811_4810_4809_4808_4807_4806_4805_4804_4803_4800_4799_4798_4787_4786_4784_4782_4781_4776_4775,2525_2527_2529_2531_2535_2537_2538_2539_2542_2543_2545_2553_2555_2556_2557_2565_2566_2568_2569_2570_2571_2575_2577_2578_2579_2580_2584_2585_2586_2592_2594_2595_2596_2599_2600_2602_2603_2605_2609_2610_2620_2624_2628_2631_2634_2638_2639_2640_2641_2643_2644_2646_2647_2649_2652_2655_2656_2659_2668_2671_2673_2674_2677_2678_2683_2686_2707_2711_2715_2716_2719_2720_2726_2727_2728_2729_2733_2735_2737_2739_2740_2747_2749_2761_2765_2769_2772_2779_2781_2782,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.4455445544554455,0.3488372093023256,1,1,#FFCC00,#FFCC00,1
6,1,2,926.0,832.0,3312.0,3466.0,0.0078,73,-1,-1,0.8082191780821918,0.8904109589041096,0.9452054794520548,0.9726027397260274,1.0,926_925_924_923_922_921_920_919_918_917_916_915_914_913_908_907_906_905_904_903_902_901_900_899_898_897_896_895_894_893_892_891_890_884_883_882_881_880_879_878_877_874_872_871_870_869_868_867_866_865_864_863_862_861_856_855_854_853_852_851_850_849_848_847_846_843_842_841_836_835_834_833_832,3312_3314_3317_3320_3336_3339_3342_3343_3345_3347_3348_3351_3352_3354_3356_3359_3364_3365_3366_3367_3368_3370_3373_3374_3379_3380_3381_3383_3384_3388_3389_3391_3392_3393_3395_3396_3397_3399_3406_3408_3409_3410_3411_3412_3413_3414_3416_3417_3418_3421_3425_3426_3427_3429_3431_3432_3434_3435_3437_3440_3442_3446_3448_3449_3451_3452_3453_3454_3456_3458_3459_3462_3466,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.7684210526315789,0.4709677419354838,1,1,#FFCC00,#FFCC00,1
7,1,2,4748.0,4569.0,2789.0,3029.0,0.0436,67,-1,-1,0.8656716417910447,0.9552238805970148,0.9701492537313432,0.9850746268656716,1.0,4748_4747_4745_4735_4734_4733_4732_4731_4730_4729_4728_4727_4726_4725_4724_4723_4722_4721_4720_4717_4716_4709_4708_4707_4706_4705_4702_4687_4685_4682_4681_4676_4674_4672_4670_4668_4665_4663_4662_4661_4660_4659_4658_4657_4656_4655_4654_4653_4652_4651_4650_4645_4629_4620_4606_4604_4603_4602_4601_4590_4588_4587_4586_4585_4584_4570_4569,2789_2791_2792_2794_2797_2798_2799_2800_2803_2804_2806_2807_2808_2809_2810_2811_2815_2817_2818_2823_2846_2852_2855_2857_2873_2880_2881_2883_2888_2892_2893_2897_2900_2901_2902_2903_2908_2909_2910_2911_2912_2914_2915_2917_2919_2922_2923_2924_2925_2926_2927_2936_2956_2979_2990_2993_2995_2996_3006_3010_3015_3018_3019_3020_3021_3027_3029,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.3722222222222222,0.2780082987551867,1,1,#FFCC00,#FFCC00,1
8,1,2,1102.0,996.0,3033.0,3206.0,0.0173,59,-1,-1,0.847457627118644,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1102_1101_1100_1099_1090_1088_1086_1085_1084_1082_1081_1080_1075_1074_1073_1064_1062_1061_1060_1059_1058_1057_1056_1055_1047_1046_1045_1044_1043_1042_1041_1040_1039_1038_1037_1036_1035_1034_1033_1032_1031_1030_1029_1020_1019_1018_1017_1016_1015_1014_1013_1012_1006_1004_1003_999_998_997_996,3033_3034_3038_3049_3053_3055_3057_3060_3064_3071_3072_3074_3075_3084_3085_3091_3093_3100_3101_3102_3106_3109_3115_3116_3118_3120_3121_3122_3128_3129_3131_3132_3133_3134_3137_3138_3139_3140_3144_3153_3154_3155_3156_3163_3164_3166_3168_3170_3179_3180_3181_3185_3189_3190_3193_3196_3197_3204_3206,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.5514018691588785,0.3390804597701149,1,1,#FFCC00,#FFCC00,1
9,1,2,4456.0,4568.0,1859.0,2014.0,0.0198,49,-1,-1,0.8571428571428571,0.9183673469387756,1.0,1.0,1.0,4456_4457_4458_4459_4460_4461_4462_4464_4465_4466_4474_4476_4477_4480_4481_4484_4486_4487_4489_4491_4493_4494_4495_4497_4498_4501_4502_4504_4506_4511_4515_4517_4520_4533_4534_4535_4536_4537_4538_4540_4543_4544_4546_4547_4554_4555_4566_4567_4568,1859_1860_1861_1862_1864_1872_1873_1875_1876_1878_1881_1884_1885_1890_1891_1897_1898_1899_1900_1907_1908_1910_1911_1914_1929_1930_1931_1948_1953_1960_1961_1962_1964_1974_1975_1976_1977_1978_1983_1988_1991_1993_1994_1995_1997_1999_2002_2012_2014,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.4336283185840708,0.3141025641025641,1,1,#FFCC00,#FFCC00,1
10,1,2,4076.0,3988.0,3847.0,3933.0,0.0097,39,-1,-1,0.9487179487179488,0.9743589743589745,1.0,1.0,1.0,4076_4075_4074_4073_4072_4071_4069_4066_4065_4052_4051_4050_4049_4048_4043_4037_4027_4020_4019_4018_4017_4011_4010_4008_4007_4006_4005_4004_4003_4002_4001_4000_3999_3998_3995_3991_3990_3989_3988,3847_3848_3850_3851_3858_3859_3860_3861_3862_3866_3867_3868_3870_3871_3873_3876_3879_3880_3882_3885_3886_3889_3890_3891_3896_3903_3904_3908_3910_3911_3912_3913_3914_3915_3916_3918_3929_3932_3933,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.4382022471910112,0.4482758620689655,1,1,#FFCC00,#FFCC00,1
11,1,2,928.0,992.0,3219.0,3303.0,0.021,39,-1,-1,0.8717948717948718,0.8717948717948718,0.9230769230769232,1.0,1.0,928_929_930_931_932_933_934_935_936_937_938_939_940_943_945_946_949_952_953_954_955_956_957_958_959_960_961_962_963_964_965_966_967_968_982_989_990_991_992,3219_3220_3221_3224_3227_3228_3230_3231_3232_3233_3236_3237_3242_3245_3251_3253_3256_3258_3259_3261_3262_3265_3270_3271_3272_3274_3275_3276_3278_3280_3281_3282_3283_3285_3287_3293_3296_3300_3303,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.6,0.4588235294117647,1,1,#FFCC00,#FFCC00,1
