,0,1,2,3,4,5,6,7,8,9,10,11,grading
660,hsa17s12g00231,ptr16s13g00693,0.955,649,29,0,1,649,98,746,0.0,1304,50
672,hsa17s12g00263,ptr16s13g00655,0.973,236,6,0,1,236,1,236,7.723999999999998e-157,486,50
1248,hsa17s12g00027,ptr16s13g00035,0.987,385,5,0,1,385,1,385,4.000999999999999e-264,804,50
1257,hsa17s12g01019,ptr16s13g01133,0.9229999999999999,497,36,0,1,471,1,497,4.148e-317,962,50
1260,hsa17s12g01019,ptr16s13g01040,0.462,362,178,0,20,381,3,333,5.551e-90,304,25
1263,hsa17s12g01019,ptr16s13g01039,0.389,369,221,0,23,384,8,376,4.692999999999999e-70,246,25
2557,hsa17s12g00962,ptr16s13g01063,0.46399999999999997,2209,607,0,1,1134,1,2209,0.0,1846,50
2558,hsa17s12g00994,ptr16s13g01097,0.925,174,13,0,77,250,1,174,6.901999999999998e-99,339,50
3781,hsa17s12g00999,ptr16s13g01106,0.946,1108,60,0,1,1108,1,1108,0.0,2201,50
3782,hsa17s12g00999,ptr16s13g01110,0.617,1083,412,0,22,1104,20,1095,0.0,1304,25
3783,hsa17s12g00999,ptr16s13g01102,0.532,1080,496,0,27,1106,16,1076,0.0,1080,25
4237,hsa17s12g00817,ptr16s13g00910,0.978,474,10,0,1,474,54,527,3.5e-323,979,50
4265,hsa17s12g00849,ptr16s13g00945,1.0,314,0,0,1,314,1,314,1.2659999999999992e-217,666,50
4713,hsa17s12g00011,ptr16s13g00014,0.99,118,1,0,1,118,1,118,4.589999999999999e-77,249,50
4730,hsa17s12g00363,ptr16s13g00543,0.879,54,6,0,1,54,1,54,9.599e-27,101,50
7219,hsa17s12g00768,ptr16s13g00859,0.9520000000000001,406,19,0,1,406,1,406,2.9589999999999982e-267,814,50
7222,hsa17s12g00800,ptr16s13g00893,0.973,1133,31,0,1,1133,1,1133,0.0,2325,50
9490,hsa17s12g00030,ptr16s13g00039,0.966,289,10,0,1,289,1,289,6.714999999999997e-192,590,50
9499,hsa17s12g00894,ptr16s13g00992,0.961,628,24,0,1,621,1,628,0.0,1271,50
9500,hsa17s12g00926,ptr16s13g01029,0.623,163,42,0,1,113,1,163,1.4480000000000003e-60,201,50
10549,hsa17s12g00301,ptr16s13g00611,0.8909999999999999,204,22,0,1,204,1,204,4.607999999999999e-121,381,50
10551,hsa17s12g00333,ptr16s13g00570,0.852,255,38,0,1,255,1,255,1.1229999999999996e-144,452,50
10552,hsa17s12g00685,ptr16s13g00754,0.9209999999999999,713,56,0,1,713,1,713,0.0,1374,50
10559,hsa17s12g00717,ptr16s13g00791,0.9009999999999999,406,39,0,1,406,1,396,3.7439999999999986e-250,765,50
14298,hsa17s12g00023,ptr16s13g00028,0.9540000000000001,131,6,0,1,131,1,131,2.0489999999999998e-82,265,50
14299,hsa17s12g00311,ptr16s13g00599,0.9390000000000001,339,21,0,1,339,1,339,2.153999999999999e-218,669,50
14371,hsa17s12g00343,ptr16s13g00562,0.895,1168,117,0,1,1115,1,1168,0.0,2178,50
14387,hsa17s12g00343,ptr16s13g00231,0.304,219,144,0,893,1111,795,1002,5.362000000000001e-22,104,25
15488,hsa17s12g00029,ptr16s13g00038,0.9890000000000001,145,2,0,89,233,8,152,4.400999999999999e-94,305,50
