aek_tsi13s1g00001,atr42s3g01831
aek_tsi13s1g00002,.
aek_tsi13s1g00003,.
aek_tsi13s1g00004,.
aek_tsi13s1g00005,atr42s3g01823
aek_tsi13s1g00006,atr42s3g01819
aek_tsi13s1g00007,.
aek_tsi13s1g00008,atr42s3g01818
aek_tsi13s1g00009,.
aek_tsi13s1g00010,atr42s3g01805
aek_tsi13s1g00011,.
aek_tsi13s1g00012,.
aek_tsi13s1g00013,.
aek_tsi13s1g00014,atr42s3g01800
aek_tsi13s1g00015,.
aek_tsi13s1g00016,.
aek_tsi13s1g00017,atr42s3g01797
aek_tsi13s1g00018,.
aek_tsi13s1g00019,.
aek_tsi13s1g00020,.
aek_tsi13s1g00021,atr42s3g01790
aek_tsi13s1g00022,atr42s3g01775
aek_tsi13s1g00023,.
aek_tsi13s1g00024,.
aek_tsi13s1g00025,.
aek_tsi13s1g00026,.
aek_tsi13s1g00027,.
aek_tsi13s1g00028,.
aek_tsi13s1g00029,.
aek_tsi13s1g00030,.
aek_tsi13s1g00031,.
aek_tsi13s1g00032,.
aek_tsi13s1g00033,.
aek_tsi13s1g00034,.
aek_tsi13s1g00035,.
aek_tsi13s1g00036,.
aek_tsi13s1g00037,.
aek_tsi13s1g00038,.
aek_tsi13s1g00039,.
aek_tsi13s1g00040,atr42s3g01773
aek_tsi13s1g00041,
aek_tsi13s1g00042,
aek_tsi13s1g00043,
aek_tsi13s1g00044,
aek_tsi13s1g00045,
aek_tsi13s1g00046,
aek_tsi13s1g00047,
aek_tsi13s1g00048,atr42s3g01947
aek_tsi13s1g00049,atr42s3g01981
aek_tsi13s1g00050,atr42s3g01982
aek_tsi13s1g00051,atr42s3g01983
aek_tsi13s1g00052,.
aek_tsi13s1g00053,.
aek_tsi13s1g00054,atr42s3g01984
aek_tsi13s1g00055,.
aek_tsi13s1g00056,.
aek_tsi13s1g00057,.
aek_tsi13s1g00058,.
aek_tsi13s1g00059,.
aek_tsi13s1g00060,atr42s3g01939
aek_tsi13s1g00061,.
aek_tsi13s1g00062,atr42s3g01937
aek_tsi13s1g00063,.
aek_tsi13s1g00064,.
aek_tsi13s1g00065,atr42s3g01932
aek_tsi13s1g00066,.
aek_tsi13s1g00067,.
aek_tsi13s1g00068,.
aek_tsi13s1g00069,atr42s3g01931
aek_tsi13s1g00070,atr42s3g01929
aek_tsi13s1g00071,.
aek_tsi13s1g00072,.
aek_tsi13s1g00073,atr42s3g01928
aek_tsi13s1g00074,atr42s3g01922
aek_tsi13s1g00075,atr42s3g01921
aek_tsi13s1g00076,.
aek_tsi13s1g00077,.
aek_tsi13s1g00078,atr42s3g01918
aek_tsi13s1g00079,.
aek_tsi13s1g00080,atr42s3g01917
aek_tsi13s1g00081,.
aek_tsi13s1g00082,.
aek_tsi13s1g00083,.
aek_tsi13s1g00084,atr42s3g01899
aek_tsi13s1g00085,atr42s3g01882
aek_tsi13s1g00086,.
aek_tsi13s1g00087,atr42s3g01880
aek_tsi13s1g00088,atr42s3g01870
aek_tsi13s1g00089,.
aek_tsi13s1g00090,atr42s3g01868
aek_tsi13s1g00091,
aek_tsi13s1g00092,
aek_tsi13s1g00093,
aek_tsi13s1g00094,atr42s3g02009
aek_tsi13s1g00095,.
aek_tsi13s1g00096,.
aek_tsi13s1g00097,.
aek_tsi13s1g00098,.
aek_tsi13s1g00099,atr42s3g02013
aek_tsi13s1g00100,.
aek_tsi13s1g00101,.
aek_tsi13s1g00102,.
aek_tsi13s1g00103,.
aek_tsi13s1g00104,atr42s3g02015
aek_tsi13s1g00105,atr42s3g02019
aek_tsi13s1g00106,.
aek_tsi13s1g00107,.
aek_tsi13s1g00108,atr42s3g02031
aek_tsi13s1g00109,.
aek_tsi13s1g00110,.
aek_tsi13s1g00111,.
aek_tsi13s1g00112,.
aek_tsi13s1g00113,.
aek_tsi13s1g00114,.
aek_tsi13s1g00115,.
aek_tsi13s1g00116,.
aek_tsi13s1g00117,atr42s3g02070
aek_tsi13s1g00118,.
aek_tsi13s1g00119,.
aek_tsi13s1g00120,atr42s3g02067
aek_tsi13s1g00121,.
aek_tsi13s1g00122,.
aek_tsi13s1g00123,.
aek_tsi13s1g00124,.
aek_tsi13s1g00125,.
aek_tsi13s1g00126,atr42s3g02063
aek_tsi13s1g00127,atr42s3g02062
aek_tsi13s1g00128,.
aek_tsi13s1g00129,.
aek_tsi13s1g00130,.
aek_tsi13s1g00131,.
aek_tsi13s1g00132,.
aek_tsi13s1g00133,.
aek_tsi13s1g00134,.
aek_tsi13s1g00135,.
aek_tsi13s1g00136,.
aek_tsi13s1g00137,.
aek_tsi13s1g00138,.
aek_tsi13s1g00139,.
aek_tsi13s1g00140,.
aek_tsi13s1g00141,.
aek_tsi13s1g00142,.
aek_tsi13s1g00143,.
aek_tsi13s1g00144,.
aek_tsi13s1g00145,atr42s3g02050
aek_tsi13s1g00146,.
aek_tsi13s1g00147,atr42s3g02081
aek_tsi13s1g00148,atr42s3g02084
aek_tsi13s1g00149,atr42s3g02091
aek_tsi13s1g00150,.
aek_tsi13s1g00151,.
aek_tsi13s1g00152,.
aek_tsi13s1g00153,atr42s3g02094
aek_tsi13s1g00154,.
aek_tsi13s1g00155,atr42s3g02100
aek_tsi13s1g00156,.
aek_tsi13s1g00157,atr42s3g02104
aek_tsi13s1g00158,.
aek_tsi13s1g00159,atr42s3g02108
aek_tsi13s1g00160,.
aek_tsi13s1g00161,.
aek_tsi13s1g00162,.
aek_tsi13s1g00163,.
aek_tsi13s1g00164,.
aek_tsi13s1g00165,.
aek_tsi13s1g00166,.
aek_tsi13s1g00167,.
aek_tsi13s1g00168,.
aek_tsi13s1g00169,.
aek_tsi13s1g00170,.
aek_tsi13s1g00171,.
aek_tsi13s1g00172,.
aek_tsi13s1g00173,.
aek_tsi13s1g00174,.
